activity_id,project_id,equipment_id,equipment_type,system_type,activity_type,complexity,complexity_score,planned_start_date,planned_end_date,planned_duration_days,actual_start_date,actual_end_date,status,is_delayed,delay_days,num_dependencies,contractor,contractor_performance_score,resource_availability,document_completeness_pct,weather_sensitive,prior_similar_experience,num_issues_encountered,num_change_orders,budget_variance_pct
PRJ-001-ACT-0022,PRJ-001,Pump-022,Pump,HVAC,Installation,Low,1,2023-05-24,2023-05-27,3,2023-05-26,2023-06-04,Completed - Delayed,True,8,1,Siemens,0.6,Partial,0.81,False,False,7,0,0.175
PRJ-001-ACT-0023,PRJ-001,Pump-023,Pump,BMS,Documentation Review,Critical,4,2023-10-15,2023-10-19,4,,,In Progress - At Risk,True,3,0,Siemens,0.82,Limited,0.49,False,False,4,2,0.076
PRJ-001-ACT-0024,PRJ-001,Generator-024,Generator,Plumbing,Documentation Review,Critical,4,2023-07-05,2023-07-10,5,2023-07-03,2023-07-18,Completed - Delayed,True,8,3,Siemens,0.62,Partial,0.84,False,False,4,0,0.205
PRJ-001-ACT-0025,PRJ-001,Boiler-025,Boiler,Fire Protection,Performance Testing,High,3,2023-09-06,2023-09-14,8,2023-09-08,2023-09-14,Completed - On Time,False,0,1,Siemens,1.0,Partial,0.78,False,False,1,0,0.079
PRJ-001-ACT-0026,PRJ-001,Fan-026,Fan,Fire Protection,Documentation Review,Critical,4,2023-07-28,2023-08-02,5,2023-07-26,2023-08-15,Completed - Delayed,True,13,4,Siemens,0.61,Full,0.59,False,False,8,3,0.065
PRJ-001-ACT-0027,PRJ-001,Cooling-Tower-027,Cooling Tower,BMS,Startup,Critical,4,2023-08-30,2023-09-12,13,,,In Progress - At Risk,True,16,5,Siemens,0.62,Partial,0.73,False,False,3,1,0.024
PRJ-001-ACT-0028,PRJ-001,HVAC-Chiller-028,HVAC Chiller,BMS,Functional Testing,Low,1,2023-04-16,2023-04-20,4,2023-04-17,2023-04-22,Completed - On Time,False,0,3,Siemens,0.98,Limited,0.9,False,False,1,1,0.097
PRJ-001-ACT-0029,PRJ-001,Cooling-Tower-029,Cooling Tower,Fire Protection,Performance Testing,Medium,2,2023-04-30,2023-05-07,7,2023-05-02,2023-05-24,Completed - Delayed,True,17,4,Siemens,0.95,Full,0.57,True,False,4,2,0.235
PRJ-001-ACT-0030,PRJ-001,Transformer-030,Transformer,Fire Protection,Installation,Critical,4,2023-07-16,2023-07-25,9,2023-07-20,2023-08-02,Completed - Delayed,True,8,2,Siemens,0.73,Limited,0.63,False,False,6,0,0.027
PRJ-001-ACT-0031,PRJ-001,Generator-031,Generator,Fire Protection,Functional Testing,Medium,2,2023-09-09,2023-09-22,13,2023-09-11,2023-09-20,Completed - On Time,False,0,3,Siemens,0.65,Limited,0.6,True,True,1,0,0.058
PRJ-001-ACT-0032,PRJ-001,Electrical-Switchgear-032,Electrical Switchgear,Electrical,Equipment Delivery,High,3,2023-07-22,2023-08-04,13,2023-07-24,2023-08-04,Completed - On Time,False,0,2,Siemens,0.85,Partial,0.79,False,False,1,0,0.043
PRJ-001-ACT-0033,PRJ-001,Cooling-Tower-033,Cooling Tower,Plumbing,Installation,Critical,4,2023-10-01,2023-10-03,2,2023-09-30,2023-10-03,Completed - On Time,False,0,0,Siemens,0.88,Full,0.67,True,False,1,1,0.006
PRJ-001-ACT-0034,PRJ-001,Boiler-034,Boiler,Electrical,Performance Testing,Medium,2,2023-07-07,2023-07-17,10,2023-07-07,2023-08-05,Completed - Delayed,True,19,1,Siemens,0.67,Limited,0.92,False,True,4,3,0.002
PRJ-001-ACT-0035,PRJ-001,HVAC-Chiller-035,HVAC Chiller,Fire Protection,Startup,Medium,2,2023-09-13,2023-09-22,9,2023-09-15,2023-09-22,Completed - On Time,False,0,0,Siemens,0.78,Partial,0.99,False,False,1,0,0.1
PRJ-001-ACT-0036,PRJ-001,Exhaust-Fan-036,Exhaust Fan,Fire Protection,Equipment Delivery,High,3,2023-05-23,2023-05-30,7,2023-05-21,2023-06-18,Completed - Delayed,True,19,4,Siemens,0.72,Limited,0.58,False,False,7,2,0.21
PRJ-001-ACT-0037,PRJ-001,Cooling-Tower-037,Cooling Tower,BMS,Startup,Medium,2,2023-05-19,2023-05-30,11,2023-05-18,2023-05-30,Completed - On Time,False,0,4,Siemens,0.9,Limited,0.81,False,True,0,1,0.06
PRJ-001-ACT-0038,PRJ-001,Air-Handler-038,Air Handler,Plumbing,Startup,Medium,2,2023-10-01,2023-10-08,7,2023-10-01,2023-10-17,Completed - Delayed,True,9,1,Siemens,0.65,Limited,0.93,False,False,7,2,0.199
PRJ-001-ACT-0039,PRJ-001,Fan-039,Fan,HVAC,Functional Testing,Medium,2,2023-04-12,2023-04-15,3,2023-04-10,2023-04-28,Completed - Delayed,True,13,5,Siemens,0.89,Partial,0.98,False,False,1,3,0.047
PRJ-001-ACT-0040,PRJ-001,BMS-Controller-040,BMS Controller,Plumbing,Performance Testing,High,3,2023-06-29,2023-07-13,14,2023-06-29,2023-07-11,Completed - On Time,False,0,0,Siemens,0.87,Partial,0.42,False,False,1,1,0.047
PRJ-001-ACT-0041,PRJ-001,Air-Handler-041,Air Handler,Electrical,Equipment Delivery,Critical,4,2023-04-02,2023-04-07,5,2023-04-06,2023-04-25,Completed - Delayed,True,18,0,Siemens,0.64,Limited,0.48,False,False,2,3,0.162
PRJ-001-ACT-0042,PRJ-001,Exhaust-Fan-042,Exhaust Fan,Fire Protection,Performance Testing,Low,1,2023-07-06,2023-07-11,5,2023-07-05,2023-07-11,Completed - On Time,False,0,5,Siemens,0.75,Partial,0.67,False,True,2,1,-0.041
PRJ-001-ACT-0043,PRJ-001,Pump-043,Pump,Electrical,Equipment Delivery,Critical,4,2023-10-27,2023-11-10,14,2023-10-28,2023-11-21,Completed - Delayed,True,11,0,Siemens,0.87,Limited,0.78,False,True,3,0,0.232
PRJ-001-ACT-0044,PRJ-001,UPS-044,UPS,Electrical,Performance Testing,Medium,2,2023-05-18,2023-06-01,14,,,In Progress - On Track,False,0,2,Siemens,0.91,Limited,0.4,False,True,0,0,-0.048
PRJ-001-ACT-0045,PRJ-001,VAV-Box-045,VAV Box,Electrical,Performance Testing,Medium,2,2023-06-14,2023-06-15,1,2023-06-19,2023-07-01,Completed - Delayed,True,16,2,Siemens,0.62,Limited,0.65,False,True,8,0,0.081
PRJ-001-ACT-0046,PRJ-001,Cooling-Tower-046,Cooling Tower,BMS,Equipment Delivery,High,3,2023-09-26,2023-10-09,13,,,In Progress - At Risk,True,16,3,Siemens,0.61,Partial,0.91,True,False,1,2,0.143
PRJ-001-ACT-0047,PRJ-001,Air-Handler-047,Air Handler,Electrical,Startup,High,3,2023-08-30,2023-09-10,11,2023-08-31,2023-09-14,Completed - Delayed,True,4,3,Siemens,1.0,Limited,0.58,False,False,3,3,0.036
PRJ-001-ACT-0048,PRJ-001,Generator-048,Generator,Fire Protection,Functional Testing,High,3,2023-09-26,2023-09-28,2,2023-09-25,2023-10-01,Completed - Delayed,True,3,3,Siemens,0.7,Full,0.81,False,False,5,1,0.123
PRJ-001-ACT-0049,PRJ-001,Transformer-049,Transformer,BMS,Performance Testing,Low,1,2023-06-16,2023-06-27,11,2023-06-15,2023-06-27,Completed - On Time,False,0,3,Siemens,0.74,Limited,0.96,False,False,1,0,0.037
PRJ-001-ACT-0050,PRJ-001,Cooling-Tower-050,Cooling Tower,Electrical,Documentation Review,Low,1,2023-07-25,2023-07-29,4,2023-07-24,2023-07-31,Completed - On Time,False,0,2,Siemens,0.75,Partial,0.74,True,False,2,1,-0.046
PRJ-001-ACT-0051,PRJ-001,Pump-051,Pump,Plumbing,Startup,Medium,2,2023-06-21,2023-06-22,1,2023-06-22,2023-07-09,Completed - Delayed,True,17,1,Siemens,0.83,Partial,0.44,False,True,7,2,-0.037
PRJ-001-ACT-0052,PRJ-001,Pump-052,Pump,Plumbing,Performance Testing,Low,1,2023-08-23,2023-08-25,2,2023-08-28,2023-09-08,Completed - Delayed,True,14,1,Siemens,0.66,Limited,0.43,False,True,6,2,-0.014
PRJ-001-ACT-0053,PRJ-001,UPS-053,UPS,HVAC,Startup,High,3,2023-07-12,2023-07-14,2,,,In Progress - At Risk,True,13,5,Siemens,0.87,Partial,0.72,False,False,4,1,0.207
PRJ-001-ACT-0054,PRJ-001,VAV-Box-054,VAV Box,Plumbing,Startup,Low,1,2023-06-15,2023-06-17,2,2023-06-16,2023-06-15,Completed - On Time,False,0,3,Siemens,0.9,Full,0.48,False,True,2,0,0.015
PRJ-001-ACT-0055,PRJ-001,Generator-055,Generator,HVAC,Startup,Critical,4,2023-08-18,2023-08-25,7,2023-08-23,2023-09-14,Completed - Delayed,True,20,5,Siemens,0.72,Partial,0.41,True,False,5,0,0.075
PRJ-001-ACT-0056,PRJ-001,Air-Handler-056,Air Handler,Electrical,Functional Testing,Low,1,2023-08-21,2023-08-28,7,2023-08-20,2023-08-30,Completed - On Time,False,0,3,Siemens,0.95,Limited,0.6,False,False,2,0,0.086
PRJ-001-ACT-0057,PRJ-001,Fan-057,Fan,Plumbing,Documentation Review,Medium,2,2023-10-19,2023-10-30,11,2023-10-18,2023-10-29,Completed - On Time,False,0,1,Siemens,0.64,Partial,0.52,False,True,2,1,0.02
PRJ-001-ACT-0058,PRJ-001,Transformer-058,Transformer,BMS,Functional Testing,High,3,2023-09-14,2023-09-24,10,2023-09-12,2023-10-03,Completed - Delayed,True,9,5,Siemens,0.73,Partial,0.44,False,False,1,2,0.085
PRJ-001-ACT-0059,PRJ-001,HVAC-Chiller-059,HVAC Chiller,HVAC,Startup,Low,1,2023-10-22,2023-10-27,5,2023-10-20,2023-11-14,Completed - Delayed,True,18,5,Siemens,0.95,Full,0.77,False,False,3,2,0.142
PRJ-001-ACT-0060,PRJ-001,UPS-060,UPS,Electrical,Equipment Delivery,High,3,2023-07-17,2023-07-19,2,2023-07-17,2023-08-03,Completed - Delayed,True,15,5,Siemens,0.63,Limited,0.5,False,True,4,3,0.064
PRJ-001-ACT-0061,PRJ-001,Fan-061,Fan,BMS,Equipment Delivery,High,3,2023-10-12,2023-10-23,11,2023-10-12,2023-11-12,Completed - Delayed,True,20,0,Siemens,0.73,Limited,0.81,False,False,2,2,0.024
PRJ-001-ACT-0062,PRJ-001,Fire-Alarm-Panel-062,Fire Alarm Panel,Fire Protection,Installation,Low,1,2023-08-23,2023-09-04,12,2023-08-22,2023-09-05,Completed - On Time,False,0,2,Siemens,0.82,Limited,0.87,False,True,0,1,-0.004
PRJ-001-ACT-0063,PRJ-001,Cooling-Tower-063,Cooling Tower,Plumbing,Functional Testing,Medium,2,2023-05-12,2023-05-16,4,2023-05-12,2023-05-18,Completed - On Time,False,0,1,Siemens,0.94,Full,0.7,False,True,0,0,0.075
PRJ-001-ACT-0064,PRJ-001,VAV-Box-064,VAV Box,BMS,Installation,Low,1,2023-09-24,2023-10-02,8,2023-09-25,2023-10-17,Completed - Delayed,True,15,3,Siemens,0.75,Limited,0.54,False,False,4,3,0.262
PRJ-001-ACT-0065,PRJ-001,Cooling-Tower-065,Cooling Tower,Plumbing,Documentation Review,Critical,4,2023-08-17,2023-08-25,8,,,In Progress - On Track,False,0,2,Siemens,0.8,Partial,0.98,True,True,1,1,0.033
PRJ-001-ACT-0066,PRJ-001,Air-Handler-066,Air Handler,BMS,Equipment Delivery,Medium,2,2023-06-04,2023-06-06,2,2023-06-09,2023-06-14,Completed - Delayed,True,8,2,Siemens,0.78,Limited,0.49,False,False,0,3,-0.079
PRJ-001-ACT-0067,PRJ-001,UPS-067,UPS,Plumbing,Installation,High,3,2023-06-30,2023-07-02,2,,,In Progress - On Track,False,0,1,Siemens,0.61,Full,0.9,False,False,1,0,0.064
PRJ-001-ACT-0068,PRJ-001,Generator-068,Generator,Fire Protection,Performance Testing,Low,1,2023-03-25,2023-03-27,2,2023-03-26,2023-04-06,Completed - Delayed,True,10,2,Siemens,0.66,Limited,0.77,False,False,0,1,0.068
PRJ-001-ACT-0069,PRJ-001,VAV-Box-069,VAV Box,BMS,Functional Testing,Critical,4,2023-04-09,2023-04-11,2,,,In Progress - At Risk,True,10,4,Siemens,0.81,Limited,0.71,False,True,5,1,0.128
PRJ-001-ACT-0070,PRJ-001,Boiler-070,Boiler,HVAC,Performance Testing,Low,1,2023-06-24,2023-06-26,2,2023-06-27,2023-06-27,Completed - Delayed,True,1,3,Siemens,0.95,Full,0.78,False,False,5,1,0.193
PRJ-001-ACT-0071,PRJ-001,Fire-Alarm-Panel-071,Fire Alarm Panel,HVAC,Performance Testing,High,3,2023-09-28,2023-10-11,13,2023-10-03,2023-10-26,Completed - Delayed,True,15,1,Siemens,0.62,Limited,0.6,False,True,2,0,0.186
PRJ-001-ACT-0072,PRJ-001,Generator-072,Generator,HVAC,Startup,Medium,2,2023-05-14,2023-05-15,1,2023-05-15,2023-06-05,Completed - Delayed,True,21,0,Siemens,0.72,Partial,0.99,False,False,0,2,0.009
PRJ-001-ACT-0073,PRJ-001,VAV-Box-073,VAV Box,Plumbing,Functional Testing,Critical,4,2023-11-06,2023-11-13,7,2023-11-08,2023-11-30,Completed - Delayed,True,17,3,Siemens,0.74,Full,0.7,False,False,6,0,0.072
PRJ-001-ACT-0074,PRJ-001,Exhaust-Fan-074,Exhaust Fan,Electrical,Performance Testing,Low,1,2023-06-07,2023-06-13,6,2023-06-10,2023-06-28,Completed - Delayed,True,15,0,Siemens,0.73,Partial,0.58,False,False,5,3,0.01
PRJ-001-ACT-0075,PRJ-001,VAV-Box-075,VAV Box,HVAC,Equipment Delivery,Critical,4,2023-09-11,2023-09-22,11,,,In Progress - At Risk,True,20,2,Siemens,0.81,Limited,0.81,False,True,1,1,0.211
PRJ-001-ACT-0076,PRJ-001,Fan-076,Fan,Plumbing,Functional Testing,Medium,2,2023-08-16,2023-08-17,1,2023-08-19,2023-09-03,Completed - Delayed,True,17,5,Siemens,0.78,Partial,0.62,False,True,4,1,0.284
PRJ-001-ACT-0077,PRJ-001,HVAC-Chiller-077,HVAC Chiller,Electrical,Functional Testing,Low,1,2023-08-03,2023-08-10,7,,,In Progress - At Risk,True,16,2,Siemens,0.91,Limited,0.67,False,False,1,3,-0.031
PRJ-001-ACT-0078,PRJ-001,BMS-Controller-078,BMS Controller,Fire Protection,Equipment Delivery,High,3,2023-10-17,2023-10-28,11,2023-10-17,2023-10-27,Completed - On Time,False,0,5,Siemens,0.74,Full,0.73,False,False,2,0,-0.032
PRJ-001-ACT-0079,PRJ-001,Cooling-Tower-079,Cooling Tower,Electrical,Installation,Low,1,2023-10-12,2023-10-20,8,2023-10-17,2023-11-02,Completed - Delayed,True,13,2,Siemens,0.75,Limited,0.48,True,True,6,0,-0.05
PRJ-001-ACT-0080,PRJ-001,Fan-080,Fan,HVAC,Functional Testing,High,3,2023-07-21,2023-08-01,11,2023-07-21,2023-08-02,Completed - On Time,False,0,1,Siemens,0.95,Limited,0.78,False,True,0,0,0.028
PRJ-001-ACT-0081,PRJ-001,Pump-081,Pump,Electrical,Installation,Medium,2,2023-06-14,2023-06-26,12,,,In Progress - At Risk,True,21,2,Siemens,0.98,Limited,0.94,False,True,4,0,0.101
PRJ-001-ACT-0082,PRJ-001,Boiler-082,Boiler,BMS,Performance Testing,High,3,2023-05-02,2023-05-05,3,2023-05-06,2023-05-24,Completed - Delayed,True,19,4,Siemens,0.62,Full,0.45,False,False,0,3,0.256
PRJ-001-ACT-0083,PRJ-001,UPS-083,UPS,Plumbing,Documentation Review,Medium,2,2023-06-09,2023-06-17,8,2023-06-14,2023-07-01,Completed - Delayed,True,14,5,Siemens,0.76,Partial,0.44,False,True,5,1,0.025
PRJ-001-ACT-0084,PRJ-001,BMS-Controller-084,BMS Controller,Plumbing,Documentation Review,Critical,4,2023-10-30,2023-11-05,6,2023-11-01,2023-11-09,Completed - Delayed,True,4,1,Siemens,0.9,Limited,0.74,False,False,2,0,-0.08
PRJ-001-ACT-0085,PRJ-001,Electrical-Switchgear-085,Electrical Switchgear,BMS,Functional Testing,Medium,2,2023-05-26,2023-06-09,14,2023-05-31,2023-06-26,Completed - Delayed,True,17,2,Siemens,0.97,Limited,0.59,False,True,4,3,-0.091
PRJ-001-ACT-0086,PRJ-001,Electrical-Switchgear-086,Electrical Switchgear,BMS,Functional Testing,High,3,2023-05-24,2023-05-28,4,2023-05-23,2023-05-29,Completed - Delayed,True,1,0,Siemens,0.62,Partial,0.76,False,False,4,2,0.206
PRJ-001-ACT-0087,PRJ-001,Fan-087,Fan,HVAC,Functional Testing,Medium,2,2023-04-06,2023-04-16,10,2023-04-07,2023-04-18,Completed - On Time,False,0,2,Siemens,0.82,Full,0.63,False,False,0,0,0.096
PRJ-001-ACT-0088,PRJ-001,Electrical-Switchgear-088,Electrical Switchgear,Plumbing,Startup,Medium,2,2023-08-13,2023-08-19,6,2023-08-18,2023-08-30,Completed - Delayed,True,11,1,Siemens,0.84,Partial,0.7,False,True,2,1,0.031
PRJ-001-ACT-0089,PRJ-001,Transformer-089,Transformer,Plumbing,Installation,High,3,2023-07-02,2023-07-12,10,2023-07-05,2023-07-13,Completed - Delayed,True,1,4,Siemens,0.73,Limited,0.72,False,False,1,3,0.133
PRJ-001-ACT-0090,PRJ-001,VAV-Box-090,VAV Box,HVAC,Performance Testing,Medium,2,2023-07-23,2023-07-28,5,2023-07-21,2023-08-05,Completed - Delayed,True,8,5,Siemens,0.62,Partial,0.5,False,False,1,1,-0.092
PRJ-001-ACT-0091,PRJ-001,Fan-091,Fan,Fire Protection,Installation,Medium,2,2023-07-07,2023-07-19,12,2023-07-07,2023-07-21,Completed - On Time,False,0,3,Siemens,0.8,Limited,0.95,False,True,2,1,0.029
PRJ-001-ACT-0092,PRJ-001,Fan-092,Fan,Electrical,Functional Testing,High,3,2023-08-07,2023-08-13,6,2023-08-08,2023-08-20,Completed - Delayed,True,7,5,Siemens,0.91,Limited,0.81,False,False,4,1,0.277
PRJ-001-ACT-0093,PRJ-001,Pump-093,Pump,Plumbing,Documentation Review,Critical,4,2023-05-16,2023-05-28,12,2023-05-20,2023-06-16,Completed - Delayed,True,19,2,Siemens,0.79,Limited,0.96,False,False,6,2,0.282
PRJ-001-ACT-0094,PRJ-001,VAV-Box-094,VAV Box,Electrical,Startup,Low,1,2023-04-03,2023-04-08,5,2023-04-05,2023-04-26,Completed - Delayed,True,18,2,Siemens,0.97,Limited,0.55,False,False,4,1,-0.056
PRJ-001-ACT-0095,PRJ-001,BMS-Controller-095,BMS Controller,BMS,Installation,Medium,2,2023-05-25,2023-05-26,1,2023-05-23,2023-05-31,Completed - Delayed,True,5,5,Siemens,0.69,Full,0.65,False,False,2,3,0.161
PRJ-001-ACT-0096,PRJ-001,Generator-096,Generator,Fire Protection,Documentation Review,High,3,2023-05-14,2023-05-27,13,2023-05-14,2023-05-29,Completed - Delayed,True,2,2,Siemens,0.62,Full,0.79,False,True,2,0,0.299
PRJ-001-ACT-0097,PRJ-001,Electrical-Switchgear-097,Electrical Switchgear,Fire Protection,Installation,High,3,2023-10-01,2023-10-15,14,2023-10-06,2023-11-05,Completed - Delayed,True,21,0,Siemens,0.6,Limited,0.76,False,False,2,3,0.009
PRJ-001-ACT-0098,PRJ-001,VAV-Box-098,VAV Box,HVAC,Startup,Critical,4,2023-05-04,2023-05-16,12,,,In Progress - At Risk,True,19,5,Siemens,0.7,Full,0.41,False,False,6,3,0.106
PRJ-001-ACT-0099,PRJ-001,Air-Handler-099,Air Handler,Fire Protection,Documentation Review,Medium,2,2023-04-17,2023-04-20,3,2023-04-20,2023-04-29,Completed - Delayed,True,9,3,Siemens,0.73,Full,0.4,False,False,0,2,0.161
PRJ-001-ACT-0100,PRJ-001,BMS-Controller-100,BMS Controller,Electrical,Equipment Delivery,Critical,4,2023-09-10,2023-09-12,2,2023-09-12,2023-10-03,Completed - Delayed,True,21,2,Siemens,0.66,Limited,0.7,False,False,3,1,0.283
PRJ-001-ACT-0101,PRJ-001,Generator-101,Generator,Electrical,Functional Testing,High,3,2023-10-01,2023-10-11,10,2023-09-30,2023-10-13,Completed - On Time,False,0,3,Siemens,0.97,Limited,0.88,True,True,2,1,-0.038
PRJ-001-ACT-0102,PRJ-001,Transformer-102,Transformer,HVAC,Equipment Delivery,Medium,2,2023-10-22,2023-10-31,9,,,In Progress - At Risk,True,7,4,Siemens,0.81,Full,0.6,False,False,8,3,0.223
PRJ-001-ACT-0103,PRJ-001,Generator-103,Generator,Electrical,Performance Testing,Low,1,2023-07-08,2023-07-16,8,,,In Progress - At Risk,True,7,4,Siemens,0.92,Limited,0.41,False,False,5,0,0.116
PRJ-001-ACT-0104,PRJ-001,HVAC-Chiller-104,HVAC Chiller,HVAC,Functional Testing,Critical,4,2023-04-01,2023-04-06,5,2023-04-06,2023-04-19,Completed - Delayed,True,13,1,Siemens,0.91,Limited,0.99,False,False,6,3,-0.068
PRJ-001-ACT-0105,PRJ-001,Fire-Alarm-Panel-105,Fire Alarm Panel,BMS,Installation,High,3,2023-09-07,2023-09-21,14,2023-09-05,2023-09-29,Completed - Delayed,True,8,0,Siemens,0.67,Limited,0.64,False,True,4,3,0.169
PRJ-001-ACT-0106,PRJ-001,UPS-106,UPS,Fire Protection,Performance Testing,Medium,2,2023-06-29,2023-07-13,14,2023-06-27,2023-07-27,Completed - Delayed,True,14,1,Siemens,0.78,Full,0.57,False,True,1,0,0.138
PRJ-001-ACT-0107,PRJ-001,Generator-107,Generator,BMS,Documentation Review,Low,1,2023-09-20,2023-10-04,14,2023-09-21,2023-10-14,Completed - Delayed,True,10,1,Siemens,0.76,Full,0.72,True,True,5,2,-0.005
PRJ-001-ACT-0108,PRJ-001,Boiler-108,Boiler,BMS,Installation,High,3,2023-07-07,2023-07-12,5,,,In Progress - At Risk,True,14,0,Siemens,0.82,Limited,0.93,False,True,5,3,0.214
PRJ-001-ACT-0109,PRJ-001,Fan-109,Fan,Fire Protection,Functional Testing,Critical,4,2023-05-01,2023-05-06,5,2023-05-06,2023-05-11,Completed - Delayed,True,5,1,Siemens,0.9,Partial,0.54,False,True,8,3,0.287
